,density,algorithm,runtime,runtime,nodes_expanded,nodes_expanded,max_frontier_size,max_frontier_size
,,,mean,std,mean,std,mean,std
0,0.25,A*,0.005387686998583327,0.011729023515216819,286.52,359.06214762710067,98.62,45.63375943312144
1,0.25,BFS,0.10352129599894391,0.07237247618118328,2163.02,738.3544764740665,68.5,14.740516554138404
2,0.25,DFS,0.18230862199678083,0.1507525056908169,1723.2,914.312271214233,880.64,346.5670171463773
3,0.25,Dijkstra,0.10315113798948002,0.06955998984840435,2161.67,741.0530053016901,68.86,14.67081208634094
4,0.5,A*,0.003956184991402499,0.005328348338854046,299.7,240.73827944869754,76.22,38.25870997418612
5,0.5,BFS,0.05737285400158721,0.042686558825792004,1739.92,561.7417120982839,58.0,11.439785263224428
6,0.5,DFS,0.09918800899176855,0.09603590109109889,1395.03,790.3265717410746,516.43,211.8869173818331
7,0.5,Dijkstra,0.06035075099789533,0.041172432544526204,1738.15,561.340969770989,58.19,11.639965115015935
8,0.75,A*,0.003497717996360686,0.004731312784153411,302.79,230.58284932761242,50.62,22.87329173397381
9,0.75,BFS,0.04298848500358868,0.03001018885914458,1522.58,514.3383546171751,49.85,10.731220383026848
10,0.75,DFS,0.046569750990020066,0.044340941943605855,1155.66,669.0935405910045,248.14,110.8189915532933
11,0.75,Dijkstra,0.04525563899311233,0.030396516374170318,1524.34,515.861018398396,49.85,10.779118421252916
12,1.0,A*,0.019275647993199484,0.015564400530012942,1073.05,443.5673653186825,8.16,2.106843107302458
13,1.0,BFS,0.0200921720010228,0.015625674633630127,1151.89,432.6958223122388,7.76,1.928625406758907
14,1.0,DFS,0.015600014001829502,0.013741024277300484,976.73,490.8007239257708,15.52,5.545914867465216
15,1.0,Dijkstra,0.02082331799902017,0.015586629474435575,1152.02,432.8701715925289,7.7,1.8504708655481243
