,size,algorithm,avg_cost_ratio,std_cost_ratio,avg_length_ratio,success_rate
0,11,A*,1.0,0.0,1.0115131578947367,1.0
1,11,BFS,1.056045179137665,0.13167216592180386,1.0,1.0
2,11,DFS,2.8527264979766285,1.7485026408873219,2.5257791254153483,1.0
3,11,Dijkstra,1.0,0.0,1.0115131578947367,1.0
4,11,Q-learning,1.0,0.0,1.0115131578947367,1.0
5,21,A*,1.0,0.0,1.0241933859325163,1.0
6,21,BFS,1.0640758992710972,0.07234375281974682,1.0,1.0
7,21,DFS,4.283768906503784,2.332588601338298,3.9999823684125744,1.0
8,21,Dijkstra,1.0,0.0,1.0241933859325163,1.0
9,21,Q-learning,1.0093066542577944,0.034822311649827305,1.0,0.69
10,31,A*,1.0,0.0,1.0321309139710935,1.0
11,31,BFS,1.0652591093760826,0.0769767433400543,1.0,1.0
12,31,DFS,4.09155351008969,1.9922799245715495,3.972932700852909,1.0
13,31,Dijkstra,1.0,0.0,1.0321309139710935,1.0
14,31,Q-learning,1.0047289215753408,0.01178423623917845,1.037765538945712,0.57
